location_country,ua_browser,ua_form_factor,total_visitors,total_sessions,total_checkouts,total_orders_placed
United States,Instagram,Mobile,58,62,14,12
United States,Instagram,Mobile,22,23,5,5
United States,Instagram,Mobile,62,64,13,5
United States,Instagram,Mobile,65,66,7,5
United States,Instagram,Mobile,133,139,12,5
United States,Instagram,Mobile,23,24,5,4
United States,Instagram,Mobile,25,25,4,4
United States,Instagram,Mobile,9,9,3,3
United States,Instagram,Mobile,11,11,3,3
United States,Instagram,Mobile,19,20,3,3
United States,Instagram,Mobile,27,28,5,3
United States,Instagram,Mobile,73,76,3,3
United States,Mobile Safari,Mobile,165,191,3,3
United States,Chrome,Desktop,3,3,2,2
United States,Instagram,Mobile,2,2,2,2
United States,Instagram,Mobile,2,2,2,2
United States,Instagram,Mobile,3,3,2,2
United States,Instagram,Mobile,4,4,3,2
United States,Instagram,Mobile,5,5,2,2
United States,Instagram,Mobile,7,7,2,2
United States,Instagram,Mobile,6,7,3,2
United States,Instagram,Mobile,7,7,2,2
United States,Instagram,Mobile,6,7,3,2
United States,Instagram,Mobile,6,7,3,2
United States,Instagram,Mobile,6,8,6,2
United States,Instagram,Mobile,13,14,3,2
United States,Instagram,Mobile,19,19,3,2
United States,Instagram,Mobile,17,22,5,2
United States,Instagram,Mobile,23,24,3,2
United States,Instagram,Mobile,25,27,3,2
United States,Instagram,Mobile,30,30,2,2
United States,Mobile Safari,Mobile,2,2,2,2
United States,Mobile Safari,Mobile,4,4,2,2
United States,Mobile Safari,Mobile,4,4,2,2
United States,Mobile Safari,Mobile,5,6,2,2
United States,Mobile Safari,Mobile,6,9,3,2
United States,Mobile Safari,Mobile,15,16,2,2
United States,Mobile Safari,Mobile,19,23,2,2
United States,Instagram,Mobile,2,4,2,2
United States,Instagram,Mobile,10,10,3,2
United States,Instagram,Mobile,15,15,3,2
United States,Instagram,Mobile,6,6,2,2
United States,Instagram,Mobile,15,16,3,2
United States,Mobile Safari,Mobile,2,2,2,2
United States,Instagram,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,2,2,1,1
United States,Instagram,Mobile,2,2,1,1
United States,Instagram,Mobile,2,2,1,1
United States,Instagram,Mobile,2,2,1,1
United States,Instagram,Mobile,3,3,1,1
United States,Instagram,Mobile,3,3,1,1
United States,Instagram,Mobile,3,3,1,1
United States,Instagram,Mobile,4,4,1,1
United States,Instagram,Mobile,3,4,1,1
United States,Instagram,Mobile,5,5,1,1
United States,Instagram,Mobile,5,5,1,1
United States,Instagram,Mobile,9,9,1,1
United States,Instagram,Mobile,11,12,1,1
United States,Instagram,Mobile,14,14,1,1
United States,Instagram,Mobile,20,20,1,1
United States,Mobile Safari,Mobile,1,1,1,1
United States,Mobile Safari,Mobile,3,3,1,1
United States,Mobile Safari,Mobile,2,3,1,1
United States,Mobile Safari,Mobile,3,5,1,1
United States,Mobile Safari,Mobile,2,5,1,1
United States,Mobile Safari UI/WKWebView,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Instagram,Mobile,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,1,1,1,1
United States,Chrome,Desktop,3,3,1,1
United States,Chrome,Desktop,14,16,2,1
United States,Chrome Mobile,Mobile,1,1,1,1
United States,Chrome Mobile,Mobile,1,1,1,1
United States,Chrome Mobile,Mobile,1,1,1,1
United States,Chrome Mobile,Mobile,1,1,1,1
United States,Chrome Mobile,Mobile,1,1,1,1
United States,Chrome Mobile,Mobile,4,7,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Chrome Mobile iOS,Mobile,1,1,1,1
United States,Chrome Mobile iOS,Mobile,1,2,1,1
United States,Chrome Mobile iOS,Mobile,3,3,1,1
